"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1849638657013207104","Fri Oct 25 04:39:01 +0000 2024","0","@KontolEndo rilll jogja klo ujan emg gituu beda lampu merah beda cuaca","1849671987259703328","","KontolEndo","in","","0","1","0","https://x.com/fullsun_ia/status/1849671987259703328","1453752616228306944","fullsun_ia"
"1849575116084281357","Thu Oct 24 22:14:05 +0000 2024","0","Prakiraan Cuaca Wilayah DIY Jumat 25 Oktober 2024 Cerah Berawan Sepanjang Hari https://t.co/4fTcyjI75Q #beritajogja #jogja #jogjaistimewa https://t.co/RwBZj9oJ6f","1849575116084281357","https://pbs.twimg.com/media/GasCxGMbQAEcpu5.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1849575116084281357","118371948","Harian_Jogja"
"1849339805584212163","Thu Oct 24 06:39:03 +0000 2024","0","Selasa 22 Oktober 2024 Kunjungan mahasiswa/mahasiswi Fakultas Pertanian UGM sebanyak 31 orang untuk mempelajari alat ukur parameter cuaca/iklim. #kunjungan #BMKG #tamanalatklimatologi #fakultaspertanianugm https://t.co/mFlJXA6qHM","1849339805584212163","https://pbs.twimg.com/ext_tw_video_thumb/1849339787083137024/pu/img/6vi_afIF5n3zlJKl.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1849339805584212163","1749990551758475265","staklim_jogja"
"1849325437823877393","Thu Oct 24 05:41:57 +0000 2024","0","Rabu 23 Oktober 2024 Kunjungan mahasiswa/mahasiswi Fakultas Pertanian UGM sebanyak 28 orang untuk mempelajari alat ukur parameter cuaca/iklim. #kunjungan #BMKG #tamanalatklimatologi #fakultaspertanianugm https://t.co/fZx5W2jCOv","1849325437823877393","https://pbs.twimg.com/ext_tw_video_thumb/1849325412905521152/pu/img/mBUifoZfw_hp7JS3.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1849325437823877393","1749990551758475265","staklim_jogja"
"1849320067466461580","Thu Oct 24 05:20:37 +0000 2024","0","Kamis 24 Oktober 2024 Kunjungan siswa-siswi TK Budi Mulia 2 sebanyak 143 anak untuk belajar alat ukur parameter cuaca/iklim. #kunjungan #BMKG #tamanalatklimatologi #tkbudimulia2 https://t.co/XxBL3xNPem","1849320067466461580","https://pbs.twimg.com/ext_tw_video_thumb/1849320041382100992/pu/img/7BVXcJtEikusiuTR.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1849320067466461580","1749990551758475265","staklim_jogja"
"1849288262503768212","Thu Oct 24 03:14:14 +0000 2024","0","Sobat iklim Yogya......marilah kita persiapkan menghadapi cuaca ekstrem saat masa pancaroba di musim kemarau ke musim hujan #InfoIklimJogja #MariPahamiIklim #MariPeduliIklim #BMKGJogja https://t.co/EblZSijrwd","1849288262503768212","https://pbs.twimg.com/media/Gan93VoXgAAHDBY.jpg","","in","Daerah Istimewa Yogyakarta","0","0","1","https://x.com/staklim_jogja/status/1849288262503768212","1749990551758475265","staklim_jogja"
"1849237911780352505","Wed Oct 23 23:54:10 +0000 2024","0","Cocok untuk Beraktivitas Cuaca di Jogja dan Sekitarnya Cerah Berawan Sepanjang Hari pada kamis 24 Oktober 2024 https://t.co/D4pc8fvnu1 #beritajogja #jogja #jogjaistimewa https://t.co/7dEw56J10E","1849237911780352505","https://pbs.twimg.com/media/GanQFPbbwAA5MmF.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1849237911780352505","118371948","Harian_Jogja"
"1849050868395680119","Wed Oct 23 11:30:55 +0000 2024","1","ldr an terpisah 2 ringroad ini sungguh menyiksa aaaaa. apalagi dengan kemageran yang dipicu cuaca yang tak menentu dan traffic jogja yang crowded gara2 eksploitasi turisme itu hhhhhhh","1849050868395680119","","","in","Internet","0","2","0","https://x.com/aliazcaa/status/1849050868395680119","1432956930","aliazcaa"
"1848873497755586680","Tue Oct 22 23:46:06 +0000 2024","0","Cuaca DIY Berawan Sepanjang Hari pada Rabu 23 Oktober 2024 https://t.co/rzWPWPwFhC #beritajogja #jogja #jogjaistimewa https://t.co/nDCGUxxIus","1848873497755586680","https://pbs.twimg.com/media/GaiEpjHbEAYy5_n.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1848873497755586680","118371948","Harian_Jogja"
"1848748378244649178","Tue Oct 22 15:28:56 +0000 2024","1","Hari-hari di Jogja tuh seru banget. Banyak cerita lucunya banyak makanan enak ketemu temen lama cuaca baik pantai bagus. Mantap banget hidup. ","1848748378244649178","","","in","Jakarta, Indonesia","0","0","0","https://x.com/RangerPinc/status/1848748378244649178","1481839754","RangerPinc"
"1848662622633398477","Tue Oct 22 09:48:10 +0000 2024","0","Cuaca sore ini paling cocok dengenrin lagu apa? Taruh playliat Anda disini! #SORESORE Streaming : https://t.co/KXQN9QMGhL https://t.co/CTQsJWA6dA","1848662622633398477","https://pbs.twimg.com/media/GafE200bEAAWaaz.jpg","","in","Jl. Gondosuli no. 27A Yogya","0","2","0","https://x.com/iradiojogja/status/1848662622633398477","71727134","iradiojogja"
